Unnamed: 0,ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,FullName
2068764,d3b567024b020be0,xclick,/m/03bt1vf,1,0.682813,0.704687,0.5330189999999999,0.863208,1,0,0,0,0,Woman
2024261,cf23fbedfb03ebf2,xclick,/m/03bt1vf,1,0.0,0.254375,0.255,0.8625,1,1,0,0,0,Woman
1137491,7428894d47b30b45,xclick,/m/03bt1vf,1,0.913125,0.93375,0.186667,0.231667,1,0,0,0,0,Woman
2375318,f559266c9902df4b,xclick,/m/03bt1vf,1,0.545,0.6775,0.352344,0.68125,1,0,0,0,0,Woman
844184,562a51fb67fd7dd1,xclick,/m/03bt1vf,1,0.1375,0.189583,0.244444,0.413889,1,0,0,0,0,Woman
2013193,ce0937ab4d964024,xclick,/m/03bt1vf,1,0.418125,0.50625,0.309568,0.531895,1,0,0,0,0,Woman
2322816,ef5b24a967d4f79a,xclick,/m/03bt1vf,1,0.055625,0.259375,0.19910999999999998,0.849833,0,0,0,1,0,Woman
1169176,775372d2ac12552e,activemil,/m/03bt1vf,1,0.19,0.815,0.139098,0.9511280000000001,1,0,0,1,0,Woman
1757927,b3e2f45e93204ee5,xclick,/m/03bt1vf,1,0.0225,0.28125,0.12382699999999999,0.9990620000000001,1,1,0,0,0,Woman
1443814,937e5428bce66229,activemil,/m/03bt1vf,1,0.756875,0.873125,0.0825,0.4575,0,0,0,0,0,Woman
2181041,df7425a3b90a6927,xclick,/m/03bt1vf,1,0.3775,0.94125,0.17823599999999998,0.9990620000000001,1,1,0,0,0,Woman
2459688,fec36085abcbe96d,xclick,/m/03bt1vf,1,0.306442,0.380238,0.36439299999999997,0.72213,1,0,0,0,0,Woman
2230631,e51e18054eb8e438,activemil,/m/03bt1vf,1,0.790625,0.924375,0.345,0.959167,1,0,0,0,0,Woman
2102016,d738521889436f25,xclick,/m/03bt1vf,1,0.753125,0.944375,0.708333,0.999167,1,1,0,0,0,Woman
1459440,951e8c7af51551fd,xclick,/m/03bt1vf,1,0.63125,0.99875,0.193974,0.998117,1,1,0,0,0,Woman
1265260,8137cd1d863f1aa9,xclick,/m/03bt1vf,1,0.6825,0.82,0.68,0.999167,1,1,0,0,0,Woman
2367365,f467741f0702b02b,xclick,/m/03bt1vf,1,0.16406199999999999,0.25293000000000004,0.674479,0.998698,1,1,0,0,0,Woman
916496,5d8abf1f368e8c52,xclick,/m/03bt1vf,1,0.760625,0.92875,0.10694200000000001,0.9990620000000001,1,1,0,0,0,Woman
330582,2155ffc0ea064b58,xclick,/m/03bt1vf,1,0.7382810000000001,0.773438,0.402344,0.44824200000000003,1,0,0,0,0,Woman
1464666,95a4244c00a7ed18,xclick,/m/03bt1vf,1,0.12418299999999999,0.4939310000000001,0.0075,0.918125,1,0,0,1,0,Woman
1027052,68e8e883da3ed50a,activemil,/m/03bt1vf,1,0.005181,0.588731,0.090625,0.919375,1,1,0,0,0,Woman
1002099,6670851f013c03a1,activemil,/m/03bt1vf,1,0.3475,0.54125,0.20075,0.666041,1,0,0,0,0,Woman
668192,43fe53f61aabe281,xclick,/m/03bt1vf,1,0.698125,0.72375,0.193333,0.26111100000000004,1,0,0,0,0,Woman
1817785,ba07a6e30aaa19e2,xclick,/m/03bt1vf,1,0.041875,0.199375,0.620075,0.9990620000000001,1,1,0,0,0,Woman
977618,63d99ac6515ec772,xclick,/m/03bt1vf,1,0.322702,0.8330209999999999,0.08625,0.999375,1,1,0,0,0,Woman
2050619,d1cb3e6127d21145,xclick,/m/03bt1vf,1,0.65,0.885,0.135905,0.575758,1,0,0,0,0,Woman
909989,5cdf5469f089919c,xclick,/m/03bt1vf,1,0.639375,0.685625,0.32222199999999995,0.49111099999999996,1,0,0,0,0,Woman
259268,19e455194cf52ebd,xclick,/m/03bt1vf,1,0.6246149999999999,0.996923,0.095238,0.732143,1,1,0,0,0,Woman
2303031,ed280a68bd78da27,xclick,/m/03bt1vf,1,0.39625,0.743125,0.10881800000000001,0.9990620000000001,1,1,0,0,0,Woman
1974300,ca1557d91f9370c8,xclick,/m/03bt1vf,1,0.605625,0.645625,0.503333,0.6225,1,0,0,0,0,Woman
792656,50dcad78524f0a23,xclick,/m/03bt1vf,1,0.398125,0.47125,0.7070420000000001,0.9990610000000001,1,1,0,0,0,Woman
60472,05b80b47263c542c,xclick,/m/03bt1vf,1,0.70125,0.77,0.4575,0.574167,1,0,0,0,0,Woman
1020180,6833b60ae51587a8,xclick,/m/03bt1vf,1,0.443359,0.633789,0.627604,0.998698,1,1,0,0,0,Woman
1611109,a4c9e02643a2f45a,activemil,/m/03bt1vf,1,0.12875,0.370625,0.09287100000000001,0.9962479999999999,1,1,0,0,0,Woman
1747357,b2c9c7dd380e3c00,xclick,/m/03bt1vf,1,0.3275,0.87625,0.037523,0.9990620000000001,1,1,0,0,0,Woman
77597,0770e52e0d9d38c0,xclick,/m/03bt1vf,1,0.7,0.785625,0.443333,0.635,1,0,0,0,0,Woman
1908803,c34bb7a7dab6ba07,xclick,/m/03bt1vf,1,0.62,0.756875,0.582427,0.9991629999999999,1,1,0,0,0,Woman
709914,484b1cbb1c658bd4,xclick,/m/03bt1vf,1,0.0,0.999375,0.0,0.999167,1,1,0,0,0,Woman
1697708,ada84254c964706d,xclick,/m/03bt1vf,1,0.125,0.23125,0.415,0.621667,1,0,0,0,0,Woman
2189711,e05dfc29e2b1337c,xclick,/m/03bt1vf,1,0.63625,0.88875,0.10787999999999999,0.9990620000000001,1,1,0,0,0,Woman
1690125,ace6b1574d0e0f60,xclick,/m/03bt1vf,1,0.0,0.024375,0.3975,0.571667,0,1,0,0,0,Woman
1847439,bd18a119b1572b2e,activemil,/m/03bt1vf,1,0.188125,0.53625,0.415833,0.995,1,1,0,0,0,Woman
517626,3476f397d6b5a142,xclick,/m/03bt1vf,1,0.885,0.9725,0.287993,0.47185699999999997,1,0,0,0,0,Woman
679123,45172786295d5057,xclick,/m/03bt1vf,1,0.0,0.216875,0.219167,0.999167,1,1,0,0,0,Woman
2136721,dadff4830f9c8940,activemil,/m/03bt1vf,1,0.15023499999999998,0.8826290000000001,0.11639000000000001,0.997625,0,1,0,0,0,Woman
1003092,66893a9383220e3e,xclick,/m/03bt1vf,1,0.37125,0.536875,0.461667,0.899167,1,0,0,0,0,Woman
1474916,96b6ccbe68aca47e,xclick,/m/03bt1vf,1,0.5775,0.690625,0.252471,0.999102,1,1,0,0,0,Woman
409208,29788286d032db09,xclick,/m/03bt1vf,1,0.809375,0.914375,0.485833,0.7975,1,0,0,0,0,Woman
545364,373f839a7d1eed48,xclick,/m/03bt1vf,1,0.375625,0.45375,0.301887,0.7802439999999999,1,0,0,0,0,Woman
589298,3bc118356fa2d046,xclick,/m/03bt1vf,1,0.183125,0.281875,0.39118200000000003,0.7814260000000001,1,0,0,0,0,Woman
1788362,b71a94c99f3152a6,xclick,/m/03bt1vf,1,0.757812,0.8578129999999999,0.583333,0.789583,0,1,0,1,0,Woman
678466,450596c6399eb8f4,activemil,/m/03bt1vf,1,0.225,0.36,0.079096,0.870057,1,0,0,0,0,Woman
1305959,855e94436a25cad7,xclick,/m/03bt1vf,1,0.48625,0.6725,0.659475,0.9990620000000001,1,0,0,0,0,Woman
1633198,a724315db93283ee,xclick,/m/03bt1vf,1,0.8675,0.999375,0.0,0.9990620000000001,0,0,0,0,0,Woman
2285273,eb2529b1f2c49c7a,xclick,/m/03bt1vf,1,0.005625,0.036875,0.539167,0.689167,1,0,0,0,0,Woman
68404,067cf87f01ab8720,xclick,/m/03bt1vf,1,0.47,0.5,0.135338,0.197995,1,0,0,0,0,Woman
2135240,dab2a19ce6cc11ab,xclick,/m/03bt1vf,1,0.37875,0.63,0.4818020000000001,0.9930680000000001,1,1,0,0,0,Woman
2451601,fdcf296adaa2399f,xclick,/m/03bt1vf,1,0.685,0.92375,0.314259,0.84334,1,0,0,0,0,Woman
2423550,faca56f3ccfe8b2f,xclick,/m/03bt1vf,1,0.55375,0.8925,0.128426,0.999217,1,1,0,0,0,Woman
1796261,b7efefd23afbc934,xclick,/m/03bt1vf,1,0.281875,0.3175,0.35928699999999997,0.43151999999999996,1,0,0,0,0,Woman
1001184,665596fcb869d144,xclick,/m/03bt1vf,1,0.5388890000000001,0.708333,0.49257399999999996,0.935644,1,0,0,0,0,Woman
2023460,cf1068cdcd48eb8a,xclick,/m/03bt1vf,1,0.800625,0.86125,0.35928699999999997,0.48968100000000003,1,0,0,0,0,Woman
1024385,68a1c0598b25932f,xclick,/m/03bt1vf,1,0.378125,0.428125,0.46898500000000004,0.546053,1,0,0,0,0,Woman
2207761,e28338817a54e01b,xclick,/m/03bt1vf,1,0.63625,0.768125,0.599334,0.8468370000000001,1,0,0,0,0,Woman
1088475,6f317d9a5bf7af90,activemil,/m/03bt1vf,1,0.11125,0.34625,0.355535,0.9878049999999999,0,1,0,0,0,Woman
1782640,b683a278e1e9122c,xclick,/m/03bt1vf,1,0.414375,0.7425,0.490833,0.986667,1,0,0,0,0,Woman
1855551,bde68c1a156b5395,activemil,/m/03bt1vf,1,0.4325,0.87875,0.034709,0.986867,1,1,0,0,0,Woman
394779,27fdf3877ddb919c,xclick,/m/03bt1vf,1,0.7675,0.899375,0.420263,0.722326,0,0,0,0,0,Woman
842090,55f552a9de62436b,xclick,/m/03bt1vf,1,0.82625,0.973125,0.4821760000000001,0.8789870000000001,1,0,0,0,0,Woman
779117,4f745d54d8a934b7,xclick,/m/03bt1vf,1,0.12471099999999999,0.297921,0.266667,0.998718,1,1,0,0,0,Woman
999932,662ee36f7d8dec0e,xclick,/m/03bt1vf,1,0.745,0.804167,0.494375,0.58625,1,0,0,0,0,Woman
308247,1f0f729a080ee627,xclick,/m/03bt1vf,1,0.181875,0.89375,0.43437200000000004,0.9990559999999999,1,1,0,0,0,Woman
